workerid,proliferate.condition,internal_node_id,item_type,response,rt,slider_start,stimulus,time_elapsed,trial_index,trial_type,vignette,error
32,Jordan,0.0-0.0,,0,83467,,"<p> By answering the following questions, you are participating in a study being performed as part of a class by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at vero.boyce@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any information about you other than what you provide here.</p>",83470,0,html-button-response,,
32,Jordan,0.0-1.0,,0,2398,,"<p> In this experiment, you will read 4 short stories and answer questions about them. </p>",85869,1,html-button-response,,
32,Jordan,0.0-2.0-0.0,traditional,0,15375,,"<p>Jennifer and her friend Rose are discussing a mutual acquaintance. Rose mentions that the acquaintance recently tried to get out of jury duty. Jennifer says that she thinks it is morally wrong to try to get out of jury duty. Shortly after their conversation, Jennifer gets called for jury duty, and tries to get out of it.</p>",101245,2,html-button-response,jury,
32,Jordan,0.0-3.0-0.0,honest,29,9704,50,<p>How <b>honest</b> do you think Jennifer is?</p><br>,110954,3,html-slider-response,jury,
32,Jordan,0.0-3.0-0.1,hypocritical,100,11631,50,<p>How <b>hypocritical</b> do you think Jennifer is?</p><br>,122587,4,html-slider-response,jury,
32,Jordan,0.0-3.0-0.2,trustworthy,48,4504,50,<p>How <b>trustworthy</b> do you think Jennifer is?</p><br>,127092,5,html-slider-response,jury,
32,Jordan,0.0-3.0-0.3,good,89,4437,50,<p>How <b>good a person</b> do you think Jennifer is?</p><br>,131531,6,html-slider-response,jury,
32,Jordan,0.0-3.0-0.4,like,83,3921,50,<p>How much do you <b>like</b> Jennifer?</p><br>,135454,7,html-slider-response,jury,
32,Jordan,0.0-4.0-0.0,traditional,0,18252,,"<p>Kevin and his friend Jack are discussing a mutual acquaintance. Jack mentions that the acquaintance often uses a lot of paper by printing documents single-sided. Kevin says that he thinks it is morally wrong to use a lot of paper by printing documents single-sided. Shortly after their conversation, Kevin has a large document to print, and uses a lot of paper by printing it single-sided.</p><br>",153707,8,html-button-response,printing,
32,Jordan,0.0-5.0-0.0,hypocritical,100,3044,50,<p>How <b>hypocritical</b> do you think Kevin is?</p><br>,156752,9,html-slider-response,printing,
32,Jordan,0.0-5.0-0.1,good,71,3842,50,<p>How <b>good a person</b> do you think Kevin is?</p><br>,160595,10,html-slider-response,printing,
32,Jordan,0.0-5.0-0.2,like,68,2779,50,<p>How much do you <b>like</b> Kevin?</p><br>,163375,11,html-slider-response,printing,
32,Jordan,0.0-5.0-0.3,honest,20,3520,50,<p>How <b>honest</b> do you think Kevin is?<p><br>,166897,12,html-slider-response,printing,
32,Jordan,0.0-5.0-0.4,trustworthy,33,5538,50,<p>How <b>trustworthy</b> do you think Kevin is?</p><br>,172437,13,html-slider-response,printing,
32,Jordan,0.0-6.0-0.0,traditional,0,12817,,"<p>Becky and her friend Amanda are discussing a mutual acquaintance. Amanda mentions that the acquaintance often downloads music illegally from the Internet. Becky says that she thinks it is morally wrong to download music illegally from the Internet. Shortly after their conversation, Becky goes online, and downloads music illegally.</p><br>",185254,14,html-button-response,music,
32,Jordan,0.0-7.0-0.0,like,71,14227,50,<p>How much do you <b>like</b> Becky?</p><br>,199482,15,html-slider-response,music,
32,Jordan,0.0-7.0-0.1,hypocritical,100,3571,50,<p>How <b>hypocritical</b> do you think Becky is?</p><br>,203054,16,html-slider-response,music,
32,Jordan,0.0-7.0-0.2,honest,23,6781,50,<p>How <b>honest</b> do you think Becky is?</p><br>,209836,17,html-slider-response,music,
32,Jordan,0.0-7.0-0.3,good,75,2387,50,<p>How <b>good a person</b> do you think Becky is?</p><br>,212224,18,html-slider-response,music,
32,Jordan,0.0-7.0-0.4,trustworthy,34,3878,50,<p>How <b>trustworthy</b> do you think Becky is?</p><br>,216103,19,html-slider-response,music,
32,Jordan,0.0-8.0-0.0,traditional,0,11551,,"<p>Bruce and his friend are Zach are discussing a mutual acquaintance. Zach mentions that the acquaintance often ignores his mother's phone calls. Bruce says that he thinks it is morally wrong to ignore your mother's phone calls. Shortly after their conversation, Bruce notices that his mother is calling, and ignores the call.</p><br>",227656,20,html-button-response,phone,
32,Jordan,0.0-9.0-0.0,good,42,4710,50,<p>How <b>good a person</b> do you think Bruce is?</p><br>,232367,21,html-slider-response,phone,
