workerid,proliferate.condition,internal_node_id,item_type,response,rt,slider_start,stimulus,time_elapsed,trial_index,trial_type,vignette,error
5,jordan,0.0-0.0,,0,2010,,"<p> By answering the following questions, you are participating in a study being performed as part of a class by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at vero.boyce@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any information about you other than what you provide here.</p>",2019,0,html-button-response,,
5,jordan,0.0-1.0,,0,1582,,"<p> In this experiment, you will read 4 short stories and answer questions about them. </p>",3604,1,html-button-response,,
5,jordan,0.0-2.0-0.0,honest,0,1230,,"<p>Jennifer and her friend Rose are discussing a mutual acquaintance. Rose mentions that the acquaintance recently tried to get out of jury duty. Jennifer says that she thinks it is morally wrong to try to get out of jury duty, but that she sometimes does it anyway. Shortly after their conversation, Jennifer gets called for jury duty, and tries to get out of it.</p><br>",4836,2,html-button-response,jury,
5,jordan,0.0-3.0-0.0,honest,35,2143,50,<p>How <b>honest</b> do you think Jennifer is?</p><br>,6981,3,html-slider-response,jury,
5,jordan,0.0-3.0-0.1,trustworthy,33,1893,50,<p>How <b>trustworthy</b> do you think Jennifer is?</p><br>,8876,4,html-slider-response,jury,
5,jordan,0.0-3.0-0.2,good,27,1853,50,<p>How <b>good a person</b> do you think Jennifer is?</p><br>,10732,5,html-slider-response,jury,
5,jordan,0.0-3.0-0.3,like,14,1910,50,<p>How much do you <b>like</b> Jennifer?</p><br>,12644,6,html-slider-response,jury,
5,jordan,0.0-3.0-0.4,hypocritical,12,1566,50,<p>How <b>hypocritical</b> do you think Jennifer is?</p><br>,14213,7,html-slider-response,jury,
5,jordan,0.0-4.0-0.0,honest,0,1038,,"<p>Becky and her friend Amanda are discussing a mutual acquaintance. Amanda mentions that the acquaintance often downloads music illegally from the Internet. Becky says that she thinks it is morally wrong to download music illegally from the Internet, but that she sometimes does it anyway. Shortly after their conversation, Becky goes online, and downloads music illegally.</p><br>",15253,8,html-button-response,music,
5,jordan,0.0-5.0-0.0,honest,25,1653,50,<p>How <b>honest</b> do you think Becky is?</p><br>,16908,9,html-slider-response,music,
5,jordan,0.0-5.0-0.1,like,19,2012,50,<p>How much do you <b>like</b> Becky?</p><br>,18924,10,html-slider-response,music,
