workerid,proliferate.condition,internal_node_id,item,item_type,response,rt,slider_start,stimulus,time_elapsed,trial_index,trial_type,error
9,critcher,0.0-0.0,,,0,3519,,"<p> By answering the following questions, you are participating in a study being performed as part of a class by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at vero.boyce@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any information about you other than what you provide here.</p>",3521,0,html-button-response,
9,critcher,0.0-1.0,,,0,846,,"<p> In this experiment, you will read a story about two different individuals. You will then be asked to evaluate their moral character and personality. </p><p>Please read the following story carefully. </p>",4368,1,html-button-response,
9,critcher,0.0-2.0-0.0,,immoral,0,820,,"<p>Justin and Nate were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars. Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each man considered whether he should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>  <p> Justin saw his decision as an easy one and was <i> able to decide quickly. He pocketed the money and drove off. </i></p><p> In contrast, Nate saw his decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in his car, <i> he too decided to pocket the money and drive off.</i></p>",5189,2,html-button-response,
9,critcher,0.0-3.0-0.0,,manipulation_check_justin,3,2002,4,<p>How quickly did Justin make his decision?</p><br>,7192,3,html-slider-response,
9,critcher,0.0-3.0-0.1,,manipulation_check_nate,2,1511,4,<p>How quickly did Nate make his decision?</p><br>,8707,4,html-slider-response,
9,critcher,0.0-4.0-0.0,justin-conflicted,immoral,2,2763,4,<p>Justin was able to decide quickly. He decided to pocket the money and drive off. </p><br><p>Do you think Justin felt conflicted when making his decision?</p><br>,11473,5,html-slider-response,
9,critcher,0.0-4.0-0.1,justin-reservations,immoral,3,1702,4,<p>Justin was able to decide quickly. He decided to pocket the money and drive off. </p><br><p>Do you think Justin had reservations when making his decision?</p><br>,13177,6,html-slider-response,
9,critcher,0.0-4.0-0.2,justin-certain,immoral,3,1513,4,<p>Justin was able to decide quickly. He decided to pocket the money and drive off. </p><br><p>Do you think Justin felt certain in his decision?</p><br>,14690,7,html-slider-response,
9,critcher,0.0-4.0-0.3,justin-far,immoral,3,1917,4,<p>Justin was able to decide quickly. He decided to pocket the money and drive off. </p><br><p>How far do you think Justin was from choosing the alternate course of action?</p><br>,16610,8,html-slider-response,
9,critcher,0.0-4.0-0.4,justin-principles,immoral,3,1617,4,<p>Justin was able to decide quickly. He decided to pocket the money and drive off. </p><br><p>Do you think Justin has good or bad moral principles?</p><br>,18228,9,html-slider-response,
9,critcher,0.0-4.0-0.5,justin-deep,immoral,3,3259,4,<p>Justin was able to decide quickly. He decided to pocket the money and drive off. </p><br><p>Do you think deep down Justin has the moral principles and knowledge to do the right thing?</p><br>,21488,10,html-slider-response,
9,critcher,0.0-4.0-0.6,justin-standards,immoral,3,2207,4,<p>Justin was able to decide quickly. He decided to pocket the money and drive off. </p><br><p>Do you think Justin has good or bad moral standards?</p><br>,23697,11,html-slider-response,
9,critcher,0.0-4.0-0.7,justin-calm,immoral,3,2194,4,<p>Justin was able to decide quickly. He decided to pocket the money and drive off. </p><br><p>To what extent do you think Justin remained calm and emotionally contained when making his decision?</p><br>,25892,12,html-slider-response,
9,critcher,0.0-4.0-0.8,justin-upset,immoral,2,1787,4,<p>Justin was able to decide quickly. He decided to pocket the money and drive off. </p><br><p>To what extent do you think Justin became upset and acted without thinking?</p><br>,27682,13,html-slider-response,
