workerid,proliferate.condition,internal_node_id,item,item_type,response,rt,slider_start,stimulus,time_elapsed,trial_index,trial_type,error
106,critcher,0.0-0.0,,,0,4429,,"<p> By answering the following questions, you are participating in a study being performed as part of a class by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at vero.boyce@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any information about you other than what you provide here.</p>",4432,0,html-button-response,
106,critcher,0.0-1.0,,,0,563,,"<p> In this experiment, you will read a story about two different individuals. You will then be asked to evaluate their moral character and personality. </p><p>Please read the following story carefully. </p>",4997,1,html-button-response,
106,critcher,0.0-2.0-0.0,,moral,0,45977,,"<p>Justin and Nate were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars. Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each man considered whether he should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p> <p> Justin saw his decision as an easy one and was <i> able to decide quickly. He did not steal the money </i> and instead left the wallet with Customer Service.</p><p> In contrast, Nate saw his decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in his car, <i> he too decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p> ",50980,2,html-button-response,
106,critcher,0.0-3.0-0.0,,manipulation_check_justin,7,13596,4,<p>How quickly did Justin make his decision?</p><br>,64580,3,html-slider-response,
106,critcher,0.0-3.0-0.1,,manipulation_check_nate,1,3406,4,<p>How quickly did Nate make his decision?</p><br>,67990,4,html-slider-response,
106,critcher,0.0-4.0-0.0,justin-conflicted,moral,7,8809,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin felt conflicted when making his decision?</p><br>,76801,5,html-slider-response,
106,critcher,0.0-4.0-0.1,justin-reservations,moral,4,5000,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin had reservations when making his decision?</p><br>,81804,6,html-slider-response,
106,critcher,0.0-4.0-0.2,justin-certain,moral,4,7630,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin felt certain in his decision?</p><br>,89436,7,html-slider-response,
106,critcher,0.0-4.0-0.3,justin-far,moral,4,6722,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>How far do you think Justin was from choosing the alternate course of action?</p><br>,96161,8,html-slider-response,
106,critcher,0.0-4.0-0.4,justin-principles,moral,6,4735,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin has good or bad moral principles?</p><br>,100899,9,html-slider-response,
106,critcher,0.0-4.0-0.5,justin-deep,moral,6,12132,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think deep down Justin has the moral principles and knowledge to do the right thing?</p><br>,113033,10,html-slider-response,
106,critcher,0.0-4.0-0.6,justin-standards,moral,6,2516,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>Do you think Justin has good or bad moral standards?</p><br>,115551,11,html-slider-response,
106,critcher,0.0-4.0-0.7,justin-calm,moral,6,7882,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>To what extent do you think Justin remained calm and emotionally contained when making his decision?</p><br>,123437,12,html-slider-response,
106,critcher,0.0-4.0-0.8,justin-upset,moral,5,8583,4,<p>Justin was able to decide quickly. He decided not to steal the money. </p><br><p>To what extent do you think Justin became upset and acted without thinking?</p><br>,132022,13,html-slider-response,
106,critcher,0.0-4.0-0.9,nate-conflicted,moral,2,17489,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate felt conflicted when making his decision?</p><br>,149514,14,html-slider-response,
106,critcher,0.0-4.0-0.10,nate-reservations,moral,7,5457,4,<p>Nate was only able to decide after thinking for a long time. He decided not to steal the money. </p><br><p>Do you think Nate had reservations when making his decision?</p><br>,154973,15,html-slider-response,
