workerid,proliferate.condition,internal_node_id,question_order,response,rt,slider_start,stimulus,time_elapsed,trial_index,trial_type,type,error
259,Atir,0.0-0.0,,0,3929,,"<p> By answering the following questions, you are participating in a study being performed as part of a class by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at vero.boyce@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any information about you other than what you provide here.</p>",3933,0,html-button-response,,
259,Atir,0.0-1.0-0.0,,3,13772,4,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",17707,1,html-slider-response,self-rating,
259,Atir,0.0-1.0-0.1,,4,8158,4,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,25866,2,html-slider-response,self-rating,
259,Atir,0.0-2.0,,0,5199,,<p>We are interested in common knowledge about personal finance. You will see 15 terms related to personal finance. Please rate your knowledge about each term by choosing the appropriate number from <i>1 (never heard of it)</i> to <i>7 (very knowledgeable)</i>.</p>,31066,3,html-button-response,,
259,Atir,0.0-3.0-0.0,,1,3118,4,<p>pre-rated stocks</p><br>,34186,4,html-slider-response,finance term,
259,Atir,0.0-3.0-0.1,,1,1999,4,<p>fixed-rate deduction</p><br>,36186,5,html-slider-response,finance term,
259,Atir,0.0-3.0-0.2,,1,2863,4,<p>annualized credit</p><br>,39050,6,html-slider-response,finance term,
259,Atir,0.0-3.0-0.3,,5,5223,4,<p>tax bracket</p><br>,44274,7,html-slider-response,finance term,
259,Atir,0.0-3.0-0.4,,5,3015,4,<p>fixed-rate mortgage</p><br>,47290,8,html-slider-response,finance term,
259,Atir,0.0-3.0-0.5,,5,3710,4,<p>home equity</p><br>,51000,9,html-slider-response,finance term,
259,Atir,0.0-3.0-0.6,,1,2551,4,<p>revolving credit</p><br>,53552,10,html-slider-response,finance term,
259,Atir,0.0-3.0-0.7,,1,2726,4,<p>vesting</p><br>,56280,11,html-slider-response,finance term,
259,Atir,0.0-3.0-0.8,,5,2855,4,<p>retirement</p><br>,59136,12,html-slider-response,finance term,
259,Atir,0.0-3.0-0.9,,5,1967,4,<p>stock options</p><br>,61104,13,html-slider-response,finance term,
259,Atir,0.0-3.0-0.10,,6,1943,4,<p>inflation</p><br>,63048,14,html-slider-response,finance term,
259,Atir,0.0-3.0-0.11,,5,2175,4,<p>private equity fund</p><br>,65224,15,html-slider-response,finance term,
259,Atir,0.0-3.0-0.12,,4,4487,4,<p>interest rate</p><br>,69712,16,html-slider-response,finance term,
259,Atir,0.0-3.0-0.13,,1,2823,4,<p>Roth IRA</p><br>,72536,17,html-slider-response,finance term,
259,Atir,0.0-3.0-0.14,,4,2870,4,<p>whole life insurance</p><br>,75408,18,html-slider-response,finance term,
259,Atir,0.0-4.0,"[0, 1, 2, 3, 4]","{'stocks': 'False', 'interest': 'Rise', 'mortgage': 'True', 'inflation': 'Less', 'savingsAccount': 'More than $102'}",49678,,,125093,19,survey-multi-choice,FLquiz,
259,Atir,0.0-5.0,,0,4049,,"<h1>End of the experiment.</h1><h2>Many thanks for participating!</h2><p>This experiment was about how people's level of financial knowledge and self-reported financial knowledge relate to whether people's level of over-claiming, or their likelihood of saying they know what some made-up terms mean.</p><h1>Press continue to be redirected to Prolific. </h1>",129147,20,html-button-response,,
278,Atir,0.0-0.0,,0,19207,,"<p> By answering the following questions, you are participating in a study being performed as part of a class by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at vero.boyce@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any information about you other than what you provide here.</p>",19214,0,html-button-response,,
278,Atir,0.0-1.0,,0,13483,,<p>We are interested in common knowledge about personal finance. You will see 15 terms related to personal finance. Please rate your knowledge about each term by choosing the appropriate number from <i>1 (never heard of it)</i> to <i>7 (very knowledgeable)</i>.</p>,32702,1,html-button-response,,
278,Atir,0.0-2.0-0.0,,2,11818,4,<p>pre-rated stocks</p><br>,44525,2,html-slider-response,finance term,
278,Atir,0.0-2.0-0.1,,6,9016,4,<p>fixed-rate deduction</p><br>,53549,3,html-slider-response,finance term,
278,Atir,0.0-2.0-0.2,,3,7476,4,<p>annualized credit</p><br>,61028,4,html-slider-response,finance term,
278,Atir,0.0-2.0-0.3,,7,4057,4,<p>tax bracket</p><br>,65090,5,html-slider-response,finance term,
278,Atir,0.0-2.0-0.4,,7,3305,4,<p>fixed-rate mortgage</p><br>,68399,6,html-slider-response,finance term,
278,Atir,0.0-2.0-0.5,,7,2434,4,<p>home equity</p><br>,70837,7,html-slider-response,finance term,
278,Atir,0.0-2.0-0.6,,7,2960,4,<p>revolving credit</p><br>,73801,8,html-slider-response,finance term,
278,Atir,0.0-2.0-0.7,,5,10149,4,<p>vesting</p><br>,83955,9,html-slider-response,finance term,
278,Atir,0.0-2.0-0.8,,7,3364,4,<p>retirement</p><br>,87325,10,html-slider-response,finance term,
278,Atir,0.0-2.0-0.9,,7,3256,4,<p>stock options</p><br>,90585,11,html-slider-response,finance term,
278,Atir,0.0-2.0-0.10,,7,2528,4,<p>inflation</p><br>,93118,12,html-slider-response,finance term,
278,Atir,0.0-2.0-0.11,,7,3177,4,<p>private equity fund</p><br>,96298,13,html-slider-response,finance term,
278,Atir,0.0-2.0-0.12,,7,18388,4,<p>interest rate</p><br>,114689,14,html-slider-response,finance term,
278,Atir,0.0-2.0-0.13,,5,4679,4,<p>Roth IRA</p><br>,119373,15,html-slider-response,finance term,
