workerid,type,question,response,rt,stimulus,trial_index
155,finance term,pre-rated stocks,3,6135,<p>pre-rated stocks</p><br>,2
155,finance term,fixed-rate deduction,3,3804,<p>fixed-rate deduction</p><br>,3
155,finance term,annualized credit,4,5331,<p>annualized credit</p><br>,4
155,finance term,tax bracket,6,4521,<p>tax bracket</p><br>,5
155,finance term,fixed-rate mortgage,7,4198,<p>fixed-rate mortgage</p><br>,6
155,finance term,home equity,7,3177,<p>home equity</p><br>,7
155,finance term,revolving credit,3,3524,<p>revolving credit</p><br>,8
155,finance term,vesting,2,3170,<p>vesting</p><br>,9
155,finance term,retirement,7,4050,<p>retirement</p><br>,10
155,finance term,stock options,5,3318,<p>stock options</p><br>,11
155,finance term,inflation,7,2839,<p>inflation</p><br>,12
155,finance term,private equity fund,3,3476,<p>private equity fund</p><br>,13
155,finance term,interest rate,7,3194,<p>interest rate</p><br>,14
155,finance term,Roth IRA,1,3282,<p>Roth IRA</p><br>,15
155,finance term,whole life insurance,7,3452,<p>whole life insurance</p><br>,16
155,self-rating,generalKnowledge,5,5424,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",17
155,self-rating,compareAmerican,5,7291,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,18
155,FLquiz,stocks,Don't know,102878,NA,19
155,FLquiz,interest,Rise,102878,NA,19
155,FLquiz,mortgage,True,102878,NA,19
155,FLquiz,inflation,Less,102878,NA,19
155,FLquiz,savingsAccount,More than $102,102878,NA,19
156,finance term,pre-rated stocks,3,4746,<p>pre-rated stocks</p><br>,4
156,finance term,fixed-rate deduction,3,2945,<p>fixed-rate deduction</p><br>,5
156,finance term,annualized credit,6,2519,<p>annualized credit</p><br>,6
156,finance term,tax bracket,6,2887,<p>tax bracket</p><br>,7
156,finance term,fixed-rate mortgage,7,3999,<p>fixed-rate mortgage</p><br>,8
156,finance term,home equity,6,2161,<p>home equity</p><br>,9
156,finance term,revolving credit,6,2515,<p>revolving credit</p><br>,10
156,finance term,vesting,3,1679,<p>vesting</p><br>,11
156,finance term,retirement,7,1873,<p>retirement</p><br>,12
156,finance term,stock options,5,3523,<p>stock options</p><br>,13
156,finance term,inflation,6,1913,<p>inflation</p><br>,14
156,finance term,private equity fund,5,3197,<p>private equity fund</p><br>,15
156,finance term,interest rate,6,1776,<p>interest rate</p><br>,16
156,finance term,Roth IRA,3,3921,<p>Roth IRA</p><br>,17
156,finance term,whole life insurance,7,2552,<p>whole life insurance</p><br>,18
156,self-rating,generalKnowledge,5,8330,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",1
156,self-rating,compareAmerican,6,5976,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,2
156,FLquiz,stocks,False,55821,NA,19
156,FLquiz,interest,Stay the same,55821,NA,19
156,FLquiz,mortgage,True,55821,NA,19
156,FLquiz,inflation,Less,55821,NA,19
156,FLquiz,savingsAccount,More than $102,55821,NA,19
157,finance term,pre-rated stocks,3,4959,<p>pre-rated stocks</p><br>,4
157,finance term,fixed-rate deduction,2,3751,<p>fixed-rate deduction</p><br>,5
157,finance term,annualized credit,5,3695,<p>annualized credit</p><br>,6
157,finance term,tax bracket,6,2698,<p>tax bracket</p><br>,7
157,finance term,fixed-rate mortgage,7,5460,<p>fixed-rate mortgage</p><br>,8
157,finance term,home equity,7,2235,<p>home equity</p><br>,9
157,finance term,revolving credit,5,3503,<p>revolving credit</p><br>,10
157,finance term,vesting,5,1899,<p>vesting</p><br>,11
157,finance term,retirement,7,2695,<p>retirement</p><br>,12
157,finance term,stock options,7,1767,<p>stock options</p><br>,13
157,finance term,inflation,7,1895,<p>inflation</p><br>,14
157,finance term,private equity fund,6,2735,<p>private equity fund</p><br>,15
157,finance term,interest rate,7,1808,<p>interest rate</p><br>,16
157,finance term,Roth IRA,5,2112,<p>Roth IRA</p><br>,17
