workerid,proliferate.condition,failed_audio,failed_images,failed_video,internal_node_id,response,rt,stimulus,subject,success,time_elapsed,timeout,trial_index,trial_type,error
29,sheppes,[],[],[],0.0-0.0,,,,flj78,True,3,False,0,preload,
29,sheppes,,,,0.0-1.0,0,6160,"<p> By answering the following questions, you are participating in a study being performed as part of a class by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at vero.boyce@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any information about you other than what you provide here.</p>",flj78,,6164,,1,html-button-response,
29,sheppes,,,,0.0-2.0, ,9142,"<center><p>In this study, you will be trained to use two emotion regulation strategies. You will then practice using these strategies while viewing a series of images.</p><p><b>Please be aware that the images used in this study contain content that may be unpleasant or disturbing.</b></p><p>Your participation will take approximately 10 minutes. You will receive $2.00 as payment for your participation. <b>You must use a desktop or a laptop computer to complete this study. </b> By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at <u>stanfordpsych251@gmail.com</u>. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you. </p><p>Press the spacebar to begin.</p></center>",flj78,,15308,,2,html-keyboard-response,
29,sheppes,,,,0.0-3.0, ,33683,"<center><p>In this part of the study, you will view a series of pictures and try to change how you feel about each picture by changing the way you think about it. Some pictures might make you feel very negative, while other pictures might make you feel slightly negative or not negative at all. You will be able to choose between two ways or strategies that will help you feel less negative. The next section will explain both strategies and give you the opportunity to practice implementing them. It is important that you try to remember what you are supposed to do in each strategy.</p><p>Press the spacebar to continue.</p></center>",flj78,,48992,,3,html-keyboard-response,
29,sheppes,,,,0.0-4.0, ,51938,"<center><p>The first strategy is called REAPPRAISAL. This means that you attend to the picture and try to change the meaning of it. That means you think of something to tell yourself about the picture that helps you feel less negative about it. For example, you could tell yourself something about the outcome of the picture, that whatever is going on will soon be resolved, or that help is on the way. You could also focus on a specific detail of the situation that may not be as bad as it first seemed. But we want you to stay focused on the picture and not think of random things that will make you feel better, but rather to change something about the picture that helps you to feel less negative about it. It is very important that when you reappraise you do not think that the picture is fake or a scene from a movie. Think of it as a real situation, and then change the meaning of it. <b>Once again, as soon as the picture is on the screen, keep focusing on the picture, but tell yourself something about it that makes you feel less negative; keep repeating it to yourself while the screen is up.</b></p><p>Press the spacebar to continue</p></center>",flj78,,100931,,4,html-keyboard-response,
29,sheppes,,,,0.0-5.0, ,3983,"<center><p>Now you are going to practice using reappraisal. Once the picture comes up on the screen, please immediately start focusing your thoughts with the goal of feeling less negative, <b>Focus on the picture but think of the meaning of the picture in a way that will help you feel less negative about it.</b></p><p>Press the spacebar to continue</p></center>",flj78,,104915,,5,html-keyboard-response,
29,sheppes,,,,0.0-6.0-0.0,{'Q0': 'They are about to win a battle'},26330,,flj78,,131248,,6,survey-text,
29,sheppes,,,,0.0-6.0-1.0, ,14009,"<center><p>Just to give you more ideas, other people thought that they are fighting for their families, they are protecting their country, they stand together for an important goal, their families will be proud of them.</p><p><b>Remember, as soon as the picture is on the screen, keep focusing on the picture but tell yourself something about it that makes you feel less negative, until it disappears from the screen.</b></p><p>Press the spacebar to continue</p></center>",flj78,,145258,,7,html-keyboard-response,
29,sheppes,,,,0.0-6.0-2.0,{'Q0': 'His parents are going to comfort him'},13468,,flj78,,158729,,8,survey-text,
29,sheppes,,,,0.0-7.0, ,17792,"<center><p>The second strategy is called DISTRACTION. This means that you try your best to feel less negative about the picture by thinking of something that is completely unrelated to the picture. There are a few ways you can do this. First, you can think about geometric shapes. For instance, if you see a bloody knife, you can think of a big yellow triangle. Second, you can imagine yourself doing everyday tasks, such as taking a shower or making coffee in the morning. Third, you can imagine your neighborhood or other familiar streets. You could use any one of these ways to distract yourself, which you think will work best in making you feel less negative. You do not have to use the same method to distract all the time. <b>However, it is important that you keep your eyes on the picture and not avert your gaze. As soon as the picture is on the screen, start focusing all of your thoughts on something that is completely unrelated to the picture. Once you have come up with a way to feel less negative, keep repeating it to yourself while the screen is up.</b></p><p>Press the spacebar to continue</p></center>",flj78,,176522,,9,html-keyboard-response,
29,sheppes,,,,0.0-8.0, ,4652,"<center><p>Now you are going to practice using distraction. Once the picture comes up on the screen, please immediately start focusing and implementing that strategy.</p><p>Press the spacebar to continue</p></center>",flj78,,181175,,10,html-keyboard-response,
29,sheppes,,,,0.0-9.0-0.0,"{'Q0': ""That's a very vivd blue""}",13077,,flj78,,194254,,11,survey-text,
29,sheppes,,,,0.0-9.0-1.0, ,13682,"<center><p>Just to give you more ideas, other people thought of cars passing on a street they know, or about all the steps of making coffee, or about a red triangle. <b>Remember, the moment you see the picture on the screen, start focusing all your thoughts on the distracting object you chose.</b></p><p>Press the spacebar to continue</p></center>",flj78,,207937,,12,html-keyboard-response,
29,sheppes,,,,0.0-9.0-2.0,{'Q0': 'I recalled taking a shower this morning'},22471,,flj78,,230410,,13,survey-text,
29,sheppes,,,,0.0-10.0, ,13849,"<center><p>We would now like you to practice using the two strategies you just learned. First, you will see a fixation cross. Please just attend to it. Then, a picture will flash on the screen for a very brief period of time. Follow the instructions on the screen. The same picture that you saw briefly will then appear for an extended time. As soon as you see it, start implementing the strategy that is written under the picture. <b>Please look at the image for the entire time that it appears on the screen. After the time is up, the next image will appear automatically.</b></p><p>Press the spacebar to continue.</p></center>",flj78,,244260,,14,html-keyboard-response,
29,sheppes,,,,0.0-11.0-0.0, ,2774,iaps/2703hp.jpg,flj78,,247039,,15,image-keyboard-response,
29,sheppes,,,,0.0-11.0-1.0,,,iaps/2703hp.jpg,flj78,,252059,,16,image-keyboard-response,
29,sheppes,,,,0.0-11.0-2.0,,,"<div style=""font-size:60px;"">+</div>",flj78,,253060,,17,html-keyboard-response,
29,sheppes,,,,0.0-11.0-0.1, ,2497,iaps/2120lp.jpg,flj78,,255559,,18,image-keyboard-response,
29,sheppes,,,,0.0-11.0-1.1,,,iaps/2120lp.jpg,flj78,,260577,,19,image-keyboard-response,
29,sheppes,,,,0.0-11.0-2.1,,,"<div style=""font-size:60px;"">+</div>",flj78,,261578,,20,html-keyboard-response,
29,sheppes,,,,0.0-12.0-0.0, ,1581,iaps/7521lp.jpg,flj78,,263162,,21,image-keyboard-response,
29,sheppes,,,,0.0-12.0-1.0,,,iaps/7521lp.jpg,flj78,,268196,,22,image-keyboard-response,
29,sheppes,,,,0.0-12.0-2.0,,,"<div style=""font-size:60px;"">+</div>",flj78,,269198,,23,html-keyboard-response,
29,sheppes,,,,0.0-12.0-0.1, ,1544,iaps/3051hp.jpg,flj78,,270744,,24,image-keyboard-response,
29,sheppes,,,,0.0-12.0-1.1,,,iaps/3051hp.jpg,flj78,,275773,,25,image-keyboard-response,
29,sheppes,,,,0.0-12.0-2.1,,,"<div style=""font-size:60px;"">+</div>",flj78,,276774,,26,html-keyboard-response,
29,sheppes,,,,0.0-13.0, ,31823,"<center><p>In this task, we want you to <b>choose</b> between the two strategies that you just learned for each picture that you see. Like in the previous part of the study, you will see a fixation cross. Please just attend to it. Then, a picture will flash on the screen for a very brief period of time. You will then <b>select which regulation strategy to use</b> using buttons at the bottom of the screen. As soon as you select the strategy, the same picture that you saw briefly will then appear for an extended time. As soon as you see it, start implementing the strategy that you selected.</p><p>There are no right or wrong answers, so do not be concerned about keeping a balance between your choices. You can choose whatever strategies you want during the task. This is completely your choice. Consider both strategies and pick the one that you think will make you feel less negative. Make your choice and start controlling your emotions when you see the image appear again. <b>It is important that you keep your eyes on the picture and not avert your gaze.</b></p><p>Press the spacebar to continue</p></center>",flj78,,308599,,27,html-keyboard-response,
29,sheppes,,,,0.0-14.0-0.0,0,4252,iaps/9145lp.jpg,flj78,,312854,,28,image-button-response,
29,sheppes,,,,0.0-14.0-1.0,,,iaps/9145lp.jpg,flj78,,317868,,29,image-keyboard-response,
29,sheppes,,,,0.0-14.0-2.0,,,"<div style=""font-size:60px;"">+</div>",flj78,,318870,,30,html-keyboard-response,
29,sheppes,,,,0.0-14.0-0.1,1,1893,iaps/9921hp.jpg,flj78,,320765,,31,image-button-response,
29,sheppes,,,,0.0-14.0-1.1,,,iaps/9921hp.jpg,flj78,,325777,,32,image-keyboard-response,
29,sheppes,,,,0.0-14.0-2.1,,,"<div style=""font-size:60px;"">+</div>",flj78,,326778,,33,html-keyboard-response,
29,sheppes,,,,0.0-14.0-0.2,0,2250,iaps/8231lp.jpg,flj78,,329031,,34,image-button-response,
